AREA,PERIMETER,__GRID_COD,__CLC_CODE,__LABEL1,__LABEL2,__LABEL3,AreaTOT,PerimetroT,id_grid,Area_m2,Perim_m,AreaSulQua,PerimSulQu,AreaSulPol,PerimSulPo
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,1,20821.661,766.553,13,48,0.001,0.010
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,2,54485.157,1279.359,34,80,0.002,0.017
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,3,38265.669,1473.917,24,92,0.001,0.020
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,4,109556.997,1563.951,68,98,0.003,0.021
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,5,24546.695,961.889,15,60,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,6,234.915,107.902,0,7,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,7,847.232,191.382,1,12,0.000,0.003
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,8,1036.125,258.772,1,16,0.000,0.004
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,9,1209.060,311.415,1,19,0.000,0.004
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,10,47247.358,1310.076,30,82,0.001,0.018
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,11,25265.607,727.885,16,45,0.001,0.010
